name_displayed,country_code,pop_2014,audience_2014,pct_audience_2014,region,attribute,listed_FIFA_2014
Malawi,MWI,17068838,584590,0.03424896293,Africa and Middle East,Country,Malawi
Ethiopia,ETH,97366774,2920445,0.02999426683,Africa and Middle East,Country,Ethiopia
Chad,TCD,13569438,247298,0.01822463097,Africa and Middle East,Country,Chad
Rwanda,RWA,11345357,148644,0.01310174726,Africa and Middle East,Country,Rwanda
Philippines,PHL,100102249,587000,0.005864004114,Asia,Country,Philippines
Other Asian Countries,NA,0,157538,0,Asia,Region,Pan Asia
French Overseas Territories,NA,0,1268270,0,French Overseas Territories,Region,French Overseas Territories
Other African Countries,NA,0,2365549,0,Africa and Middle East,Region,Pan Africa
Other Caribbean Countries,NA,0,1594666,0,"North, Central America & Caribbean",Region,Pan Caribbean
Other Middle Eastern Countries,NA,0,70762643,0,Africa and Middle East,Region,Pan Middle East
