name_displayed,country_code,pop_2014,audience_2014,group,pct_audience_2014,region,attribute,listed_FIFA_2014,region_org
Hungary,HUN,9866468,6275283,1,0.6360212185,Europe,Country,Hungary,Europe
Burundi,BDI,9891790,998873,1,0.1009800046,Africa,Country,Burundi,Africa and Middle East
Benin,BEN,10286712,604916,1,0.05880557364,Africa,Country,Benin,Africa and Middle East
Portugal,PRT,10401062,7309442,1,0.702759199,Europe,Country,Portugal,Europe
Dominican Republic,DOM,10405844,5047321,1,0.485046768,"North, Central America & Caribbean",Country,Dominican Republic,"North, Central America & Caribbean"
Czech Republic,CZE,10525347,6770412,1,0.6432483414,Europe,Country,Czech Republic,Europe
Bolivia,BOL,10562159,2949139,1,0.2792174403,South America,Country,Bolivia,South America
Greece,GRC,10892413,7818237,1,0.7177690563,Europe,Country,Greece,Europe
Belgium,BEL,11209057,7733411,1,0.6899252096,Europe,Country,Belgium,Europe
Rwanda,RWA,11345357,148644,1,0.01310174726,Africa,Country,Rwanda,Africa and Middle East
Cuba,CUB,11439767,6323978,1,0.5528065388,"North, Central America & Caribbean",Country,Cuba,"North, Central America & Caribbean"
Guinea,GIN,11805509,1588167,1,0.1345276176,Africa,Country,Guinea,Africa and Middle East
Chad,TCD,13569438,247298,1,0.01822463097,Africa,Country,Chad,Africa and Middle East
Senegal,SEN,14546111,4030751,1,0.2771016253,Africa,Country,Senegal,Africa and Middle East
Cambodia,KHM,15270790,9198803,1,0.6023789863,Asia,Country,Cambodia,Asia
Zimbabwe,ZWE,15411675,2109315,1,0.136864747,Africa,Country,Zimbabwe,Africa and Middle East
Zambia,ZMB,15620974,1980347,1,0.1267748733,Africa,Country,Zambia,Africa and Middle East
Ecuador,ECU,15903112,11441966,1,0.7194796842,South America,Country,Ecuador,South America
Guatemala,GTM,15923559,4617164,1,0.2899580427,"North, Central America & Caribbean",Country,Guatemala,"North, Central America & Caribbean"
Netherlands,NLD,16865008,14800900,1,0.8776100195,Europe,Country,Netherlands,Europe
Mali,MLI,16962846,994993,1,0.05865719703,Africa,Country,Mali,Africa and Middle East
Malawi,MWI,17068838,584590,1,0.03424896293,Africa,Country,Malawi,Africa and Middle East
Kazakhstan,KAZ,17289224,8262500,1,0.4778988346,Europe,Country,Kazakhstan,Europe
Burkina Faso,BFA,17585977,1424122,1,0.0809805449,Africa,Country,Burkina Faso,Africa and Middle East
Chile,CHL,17613798,13390991,1,0.7602557381,South America,Country,Chile,South America
Niger,NER,19148219,1052741,1,0.05497853351,Africa,Country,Niger,Africa and Middle East
Syria,SYR,19203090,9593135,1,0.4995620496,Middle East,Country,Syria,Africa and Middle East
Romania,ROU,19908979,10138000,1,0.5092174742,Europe,Country,Romania,Europe
Sri Lanka,LKA,20771000,2319208,1,0.1116560589,Asia,Country,Sri Lanka,Asia
Cameroon,CMR,22239904,4139767,1,0.186141406,Africa,Country,Cameroon,Africa and Middle East
Ivory Coast,CIV,22531350,10774033,1,0.4781796475,Africa,Country,Ivory Coast,Africa and Middle East
Taiwan,TWN,23377515,8389710,1,0.3588794617,Asia,Country,Taiwan,Asia
Australia,AUS,23504138,8165460,1,0.3474052101,Oceania,Country,Australia,Oceania
Madagascar,MDG,23589801,2706807,1,0.1147448001,Africa,Country,Madagascar,Africa and Middle East
North Korea,PRK,25116363,3100908,1,0.1234616652,Asia,Country,North Korea,Asia
Yemen,YEM,26246327,13111668,1,0.4995620149,Middle East,Country,Yemen,Africa and Middle East
Angola,AGO,26920466,2831036,1,0.1051629641,Africa,Country,Angola,Africa and Middle East
Ghana,GHA,26962563,5927563,1,0.2198441966,Africa,Country,Ghana,Africa and Middle East
Mozambique,MOZ,27212382,1394321,1,0.05123847666,Africa,Country,Mozambique,Africa and Middle East
Nepal,NPL,28323241,10365967,1,0.3659880238,Asia,Country,Nepal,Asia
Malaysia,MYS,30228017,12001353,1,0.3970274663,Asia,Country,Malaysia,Asia
Venezuela,VEN,30738378,21394659,1,0.6960243315,South America,Country,Venezuela,South America
Uzbekistan,UZB,30757700,11457333,1,0.372502918,Asia,Country,Uzbekistan,Asia
Saudi Arabia,SAU,30776722,15374882,1,0.4995620391,Middle East,Country,Saudi Arabia,Africa and Middle East
Peru,PER,30973354,16721875,1,0.539879375,South America,Country,Peru,South America
Afghanistan,AFG,32758020,7667600,2,0.234067871,Asia,Country,Afghanistan,Asia
Iraq,IRQ,35006080,17487708,2,0.4995620189,Middle East,Country,Iraq,Africa and Middle East
Canada,CAN,35535348,20986000,2,0.5905668913,"North, Central America & Caribbean",Country,Canada,"North, Central America & Caribbean"
Poland,POL,38011735,25044400,2,0.6588596916,Europe,Country,Poland,Europe
Algeria,DZA,39113313,11712149,2,0.2994414971,Africa,Country,Algeria,Africa and Middle East
Argentina,ARG,42981515,32563530,2,0.7576170826,South America,Country,Argentina,South America
Ukraine,UKR,45271947,23575667,2,0.5207566399,Europe,Country,Ukraine,Europe
Kenya,KEN,46024250,5790899,2,0.1258227782,Africa,Country,Kenya,Africa and Middle East
Spain,ESP,46480882,32927000,2,0.7083987778,Europe,Country,Spain,Europe
